case_name,algorithm,gps_csv,matched_csv,html_map,pred_edge_count,pred_path_length_m,edge_overlap_ratio,relative_length_error
raw,HMM,/a_new_folder/location_services_and_practices/1/data/processed/gps_giow_window_0s_to_5000s_dt_1p0s.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/raw/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/raw/HMM/map_matching_result.html,4312,7443.232755890545,0.84,0.39631271170426796
raw,trendHMM,/a_new_folder/location_services_and_practices/1/data/processed/gps_giow_window_0s_to_5000s_dt_1p0s.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/raw/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/raw/trendHMM/map_matching_result.html,4312,12329.616508744975,1.0,0.0
noise_0m,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_noise_0m.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_0m/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_0m/HMM/map_matching_result.html,4312,7443.232755890545,0.84,0.39631271170426796
noise_0m,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_noise_0m.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_0m/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_0m/trendHMM/map_matching_result.html,4312,12329.616508744975,1.0,0.0
noise_5m,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_noise_5m.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_5m/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_5m/HMM/map_matching_result.html,4312,48162.691711563515,0.92,2.9062603185916904
noise_5m,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_noise_5m.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_5m/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_5m/trendHMM/map_matching_result.html,4312,72289.99625783878,1.0,4.86311798153381
noise_10m,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_noise_10m.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_10m/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_10m/HMM/map_matching_result.html,4312,70444.55106058453,0.96,4.713442182943859
noise_10m,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_noise_10m.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_10m/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_10m/trendHMM/map_matching_result.html,4312,94240.23208729454,1.0,6.643403346766963
noise_20m,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_noise_20m.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_20m/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_20m/HMM/map_matching_result.html,4312,143130.74726985785,0.96,10.60869416890137
noise_20m,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_noise_20m.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_20m/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_20m/trendHMM/map_matching_result.html,4312,152424.79502948714,1.0,11.362492776752418
step_1,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_step_1.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_1/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_1/HMM/map_matching_result.html,4312,7443.232755890545,0.84,0.39631271170426796
step_1,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_step_1.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_1/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_1/trendHMM/map_matching_result.html,4312,12329.616508744975,1.0,0.0
step_2,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_step_2.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_2/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_2/HMM/map_matching_result.html,2156,8309.784990456053,0.88,0.32603053918488
step_2,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_step_2.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_2/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_2/trendHMM/map_matching_result.html,2156,11781.284053216654,1.0,0.04447279079113354
step_3,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_step_3.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_3/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_3/HMM/map_matching_result.html,1438,10274.695924360318,0.88,0.16666540949811154
step_3,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_step_3.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_3/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_3/trendHMM/map_matching_result.html,1438,12551.142109093553,0.96,0.017966949758044533
step_5,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_step_5.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_5/HMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_5/HMM/map_matching_result.html,863,8966.679485649418,0.84,0.2727527673476577
step_5,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/data/gps_step_5.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_5/trendHMM/matched_points.csv,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_5/trendHMM/map_matching_result.html,863,10846.999411766741,0.92,0.12024843562057787
